insercao,22,26,36,48,51,56,60,83,85,92,106,123,132,135,193,196,198,200,219,220,221,235,245,246,265,266,268,269,272,275,276,332,334,335,339,347,348,349,354,371,374,381,383,385,391,394,442,454,455,457,458,459,460,461,463,464,465,466,471,479,480,493,581,785,787,788,792,804,818,848,849,871,889,892,893,898,900,941,945,947,960,961,970,977,978,981,982,985,1015,1049,1051,1059,1063,10964,10966,11009,11010,11012,11013,11014,11015,11018,11019,11020,11022,11024,11373,11382,11383,11401,11402,11404,11405,11406,11407,11409,11975,12065,12066,12098,12151,12164,12185,12291,12300,12306,12307,12308,12387,12430,12444,12455,12614
22,0,0,0,0,0,0,0,0,16,16,0,13,16,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
26,0,17,31,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,129,44,0,470,0,29,0,97,33,0,259,47,3,3,1,0,0,0,1,1,0,0,42,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,47,57,0,0,0,0,0,0,0,0,0,0,1,37,5,0,1,0,0,0,0,6,0,0,9,53,0,0,0,0,1,0,0,121,0,135,0,0,0,0,0,0,0,0,0,0,4,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,7,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,5301,534,0,222,0,1022,0,17504,165,8,84,2714,47,92,0,1,7,0,17,2,0,0,0,0,0,0,1,10,0,5,7,2,0,8,0,0,0,0,0,0,2,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3740,6,2,0,2,0,0,1,20,0,0,0,100,22,0,3,0,0,0,1,546,0,0,0,196,6,0,0,44,3,0,0,113,3,1855,0,1,1,0,2,0,4,4,1,0,51,189,1,0,0,0,0,0,0,0,0,0,0,12,58,0,1,3,0,2,0,0,0,0,1,0
56,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,8,51,9,143,18,6050,2,2116,536,24,43,313,6,7,14,5,19,52,115,33,0,0,6,0,8,6,5,6,1,0,201,119,1,90,1,3,0,0,2,1,6,1,0,1,66,0,33,0,2,4,16,8,10,52,1,0,28,25,0,0,64,1058,121,168,0,47,4,0,9,0,2,23,2,35,7,0,93,3,1,1,6,1239,1,0,0,86,87,4,0,60,7,2,0,111,7,5989,1,0,1,0,0,1,46,20,65,0,18,223,0,0,0,0,0,0,0,3,0,0,2,1,70,57,0,13,2,4,0,3,1,1,0,7
83,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,89,169,0,3383,3,3234,0,7270,1350,249,51,6976,20,29,6,4,20,20,13,14,1,2,6,0,4,4,1,16,0,3,44,10,2,33,1,14,1,0,0,0,6,6,0,0,204,0,3,0,0,0,0,0,2,4,0,0,12,2,1,0,0,4695,74,3,2,13,8,1,0,89,3,4,4,438,43,1,23,0,0,0,0,469,0,0,0,115,471,0,0,145,28,1,0,54,11,4312,1,3,2,0,0,0,6,8,3,0,28,674,0,0,0,0,0,0,0,2,1,0,1,2,118,3,0,17,0,2,0,2,12,3,1,13
92,0,0,13,0,0,0,35,0,51,5,0,125,410,0,93,147,61,156,676,532,369,0,0,0,0,0,3,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,1,0,32,1,34,3,11,154,66,8,96,60,2,0,148,19,0,0,0,78,33,0,0,1,0,0,0,0,34,2,0,7,5,0,4,0,0,0,0,28,0,0,0,1,0,0,2,0,22,0,0,1,0,500,0,0,0,0,0,0,0,0,0,0,0,4,7,1,2,40,16,2,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,421,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
