insercao,3,11,22,25,26,36,51,60,83,85,92,104,106,112,118,123,132,135,137,190,193,196,198,200,218,219,220,221,228,235,237,238,239,245,246,263,264,265,268,269,272,276,311,332,334,335,339,347,348,349,357,371,374,377,381,383,385,394,442,450,454,455,456,457,458,459,460,461,463,464,466,471,478,479,480,488,493,581,785,788,792,804,848,849,871,889,892,893,898,928,941,945,947,960,961,970,973,977,978,979,980,981,982,985,987,988,1011,1013,1045,1049,1050,1051,1059,1061,1063,10961,10966,11002,11009,11010,11012,11013,11014,11015,11018,11020,11022,11024,11374,11375,11378,11380,11382,11383,11401,11402,11404,11407,11408,11409,11411,11423,11795,11878,11879,11975,12037,12065,12098,12150,12164,12185,12255,12291,12306,12307,12387,12444,12548
3,183,0,1,2,63,30,5052,616,0,1064,35,2,1,0,2,7,1218,39,16,0,11,0,0,1,1,2,1,4,0,0,0,0,0,0,28,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,19,317,0,0,0,0,6,83,0,0,0,2,7,1,0,0,0,0,1,57,0,0,0,1,0,1,0,13,0,0,0,0,0,0,0,48,1,0,0,0,64,0,25,100,0,0,0,0,0,0,0,1,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,31,14,2,3,8,267,0,39,8,0,0,0,0,5,74,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,106,0,0,0,0,120,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,33,0,0,0,0,5,0,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,11,0,0,10,1,1,9,209,0,14,11,0,0,0,0,0,76,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,78,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,4,0,0,0,52,358,88,40,0,14,0,0,0,0,0,2,51,5,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,3,0,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,6,0,1,3,171,3047,434,576,0,73,6,4,0,0,0,1088,1232,22,42,0,61,0,0,0,0,1,0,0,0,0,0,0,0,3,239,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,76,1,0,0,0,6,31,0,0,0,3,22,0,3,0,0,0,0,10,0,5,1,0,0,2,1,9,0,0,0,0,0,0,0,34,0,7,0,0,16,0,37,43,0,0,0,0,0,0,0,0,0,0,0,0,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
51,146,0,6,15,3527,509,7539,9943,0,18823,183,12,15,5,37,477,10247,501,74,0,87,10,1,2,0,7,6,0,0,0,0,0,0,43,154,0,29,8,0,1,0,0,8,7,0,0,2,0,0,0,1,0,0,0,1,5,2,2,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,1259,5719,10,0,0,1,160,370,0,0,0,19,77,0,3,0,0,0,0,591,0,17,4,0,0,14,4,754,0,0,0,0,0,0,0,2164,0,55,0,0,225,0,791,1214,10,0,0,0,0,2,0,2,0,0,0,0,5,161,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,36,0,0,0,0,0,0,0,0
60,2659,1,56,67,682,302,5297,41786,3,9462,20377,90,106,1,19,1195,10753,814,95,0,761,90,12,22,16,394,279,277,0,1,1,0,0,67,361,0,102,42,0,7,2,0,12,99,0,0,84,0,1,0,0,0,0,0,1,0,121,3,0,0,23,1,13,1,41,15,3,114,32,2,153,5,3,13,0,0,1486,5757,77,0,47,0,404,272,3,14,3,33,468,6,39,1,1,0,5,1892,0,1,2,3,0,20,1,2628,1,0,0,0,0,2,2,2099,3,408,1,0,152,0,5700,6359,8,3,0,0,0,3,4,32,0,1,0,0,16,3039,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,205,0,1,2,1,1,28,1,1
83,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1204,0,77,78,92,120,6595,11847,0,9506,1211,80,123,0,247,633,17683,201,47,0,50,109,6,17,1,40,19,29,1,0,0,0,0,16,666,0,16,1,0,1,2,3,4,16,0,0,12,0,1,0,0,0,0,2,1,5,12,4,0,0,2,0,9,0,4,4,1,37,6,1,33,2,0,4,0,0,2056,6413,6,1,10,1,137,362,1,2,2,71,62,11,3,1,1,0,1,319,0,3,3,5,0,17,5,666,0,0,0,0,0,0,0,1095,0,712,1,0,282,0,863,2997,0,0,0,1,1,2,2,14,0,3,0,0,29,2011,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,198,0,0,0,0,1,1,1,0
92,1124,0,5,33,5,26,113,5768,0,2133,3430,26,2,0,4,23,6167,23,11,1,2,24,5,22,0,182,156,204,0,0,0,0,0,0,73,0,1,0,0,0,0,0,0,2,3,0,1,1,0,3,0,0,0,0,2,1,2,84,0,2,2,1,10,1,14,16,1,13,13,0,38,4,0,1,0,0,197,405,11,0,4,4,32,52,5,2,0,35,5,21,62,0,0,0,28,307,0,0,0,2,0,0,0,8,0,0,1,0,1,0,0,83,8,122,0,0,11,0,11,3857,0,0,0,0,0,2,8,0,0,0,0,0,7,4026,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,47,0,0,13,0,0,0,0,0
104,3,0,0,0,0,4,28,1385,0,56,37,155,2,0,0,19,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,240,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,3,0,0,0,6,1,13,169,0,232,0,11,36,0,0,2,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,6,0,0,0,0,3,0,50,17,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,6,0,0,1,0,0,53,121,0,18,8,0,0,0,11,4,93,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
