insercao,3,16,18,22,26,36,48,51,56,60,67,83,85,92,106,112,115,118,123,132,135,137,172,190,196,198,200,219,220,221,230,235,237,238,239,241,242,245,246,264,265,268,269,272,275,276,332,334,335,339,347,348,349,354,371,374,377,381,383,391,394,432,442,454,455,457,458,459,460,461,463,464,466,471,473,478,479,480,488,493,581,785,788,792,804,823,848,849,869,871,884,889,892,893,898,928,940,941,944,945,961,970,977,978,979,980,981,982,985,987,1045,1046,1049,1051,1055,1059,1061,1062,1063,10953,10964,10966,11002,11008,11009,11010,11013,11014,11015,11018,11019,11020,11022,11024,11376,11377,11378,11379,11380,11381,11382,11383,11384,11385,11394,11395,11403,11407,11795,11878,11975,11983,12040,12097,12150,12151,12164,12185,12186,12209,12213,12252,12255,12260,12261,12265,12270,12271,12287,12290,12291,12306,12307,12308,12325,12387,50025,50035,50069,50073,50074
3,0,0,0,1,0,0,4,105,0,3,0,0,5,0,0,0,0,2,0,5,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,28,1,14,7,54,100,0,26,5,0,43,18,0,0,0,17,9,97,18,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,2,2,0,0,0,0,0,15,0,1,0,2,0,0,0,1,1,0,1,0,23,1,5,0,0,0,0,15,0,0,0,0,0,0,0,7,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,0,0,19,6,5,4,193,10,0,658,1,0,122,99,1,0,0,1,111,206,1,0,0,0,4,0,1,73,22,10,0,1,2,0,0,0,0,18,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,17,5,0,17,24,0,24,0,2,0,0,0,0,3,234,0,0,0,0,0,508,0,0,0,1,0,0,0,0,0,0,29,0,0,0,2,1,3,1,0,2,1,2,0,0,0,0,42,0,0,9,0,1,0,0,2,0,0,3,227,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,3,0,0
26,0,0,2,0,101,1,2,131,0,255,0,0,49,69,0,0,0,7,1,26,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,28,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1730,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,0,0,14,11,104,108,16,191,0,114,0,1,21,35,1,0,0,8,292,84,6,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,20,85,0,0,0,0,0,2,11,0,0,0,0,0,7,0,0,0,45,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,6,0,0,0,0,0,0,0,19,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
48,3,0,35,47,148,35,1899,1422,0,1009,42,0,402,653,23,1,0,80,256,1410,42,0,1,0,1,0,2,121,35,11,0,0,0,0,0,0,0,3,4,0,0,0,5,0,0,0,4,11,0,34,0,0,0,0,2,0,1,2,0,1,11,0,0,6,0,0,28,2,1,8,18,0,15,1,0,0,1,2,2,348,599,2,1,1,1,0,10,12,0,0,0,1,0,84,2,0,0,10,0,0,0,164,15,3,6,1,26,3,286,0,0,0,0,134,0,3,30,0,0,0,0,22,0,0,0,1928,0,0,0,0,0,5,1,1,0,0,1,0,1,0,1,294,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,8,42,0,1
51,0,0,74,10,2967,307,2304,4703,0,4161,92,0,10176,1195,69,2,2,163,982,3835,94,2,0,3,0,0,0,125,3,7,0,0,0,0,0,0,0,10,4,0,0,0,2,0,0,0,2,1,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,1,0,1,0,0,1,6,9,1,2847,5296,1,0,1,0,0,114,57,2,0,0,0,0,36,24,0,0,9,0,0,0,389,36,6,8,0,871,32,213,2,0,0,0,976,0,1,18,0,0,0,0,11,2,2,0,2970,2,1,0,0,0,5,0,0,0,0,0,0,0,0,2,967,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,1,8,0,0,0,0,0,238,32,9,0,1
56,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
